cloudflare,AS395747|AS394536|AS209242|AS203898|AS202623|AS14789|AS139242|AS133877|AS13335|AS132892
facebook,AS63293|AS54115|AS32934
fastly,AS54113|AS394192
netflix,AS55095|AS40027|AS394406|AS2906
telegram,AS62041|AS62014|AS59930|AS44907|AS211157
tiktok,AS57695|AS60068|AS138699|AS57695|AS3356|AS2914|AS138699|AS57695|AS56630|AS2914|AS138699|AS57695|AS60068|AS33891|AS6461|AS7473|AS138699|AS57695|AS60068|AS1299|AS7473|AS138699|AS57695|AS138195|AS6939|AS138699|AS57695|AS60068|AS6453|AS138699|AS57695|AS9009|AS2914|AS138699|AS57695|AS60068|AS6762|AS2914|AS138699|AS57695|AS36236|AS3356|AS6453|AS138699|AS57695|AS31500|AS6461|AS7473|AS138699|AS57695|AS20764|AS20485|AS6453|AS138699AS57695|AS9002|AS6453|AS138699|AS57695|AS58313|AS25369|AS174|AS6453|AS138699
